# Miscellaneous Symbols and Arrows 02B00 - 02BFF
2BE6	vulcanus	VULCANUS
2BE7	poseidon	POSEIDON
2BE8	leftHalfBlackStar	LEFT HALF BLACK STAR
2BE9	rightHalfBlackStar	RIGHT HALF BLACK STAR
2BEA	starWithLeftHalfBlack	STAR WITH LEFT HALF BLACK
2BEB	starWithRightHalfBlack	STAR WITH RIGHT HALF BLACK
2BEC	leftwardsTwoheadedArrowWithTriangleArrowheads 	LEFTWARDS TWO-HEADED ARROW WITH TRIANGLE ARROWHEADS
2BED	upwardsTwoheadedArrowWithTriangleArrowheads 	UPWARDS TWO-HEADED ARROW WITH TRIANGLE ARROWHEADS
2BEE	rightwardsTwoheadedArrowWithTriangleArrowheads 	RIGHTWARDS TWO-HEADED ARROW WITH TRIANGLE ARROWHEADS
2BEF	downwardsTwoheadedArrowWithTriangleArrowheads 	DOWNWARDS TWO-HEADED ARROW WITH TRIANGLE ARROWHEADS
2BF0	erisFormOne	ERIS FORM ONE
2BF1	erisFormTwo	ERIS FORM TWO
2BF2	sedna	SEDNA
2BF3	russianAstrologicalSymbolVigintile	RUSSIAN ASTROLOGICAL SYMBOL VIGINTILE
2BF4	russianAstrologicalSymbolNovile	RUSSIAN ASTROLOGICAL SYMBOL NOVILE
2BF5	russianAstrologicalSymbolQuintile	RUSSIAN ASTROLOGICAL SYMBOL QUINTILE
2BF6	russianAstrologicalSymbolBinovile	RUSSIAN ASTROLOGICAL SYMBOL BINOVILE
2BF7	russianAstrologicalSymbolSentagon	RUSSIAN ASTROLOGICAL SYMBOL SENTAGON
2BF8	russianAstrologicalSymbolTredecile	RUSSIAN ASTROLOGICAL SYMBOL TREDECILE
2BF9	equalsSignWithInfinityBelow	EQUALS SIGN WITH INFINITY BELOW
2BFA	unitedSymbol	UNITED SYMBOL
2BFB	separatedSymbol	SEPARATED SYMBOL
2BFC	doubledSymbol	DOUBLED SYMBOL
2BFD	passedSymbol	PASSED SYMBOL
2BFE	reversedRightAngle	REVERSED RIGHT ANGLE
2BFF	hellschreiberPauseSymbol	HELLSCHREIBER PAUSE SYMBOL
